mag7,sp,rest,date
0.0,0.0,0.0,2022-12-30
-1.57,-0.4,-0.12,2023-01-03
-2.17,0.35,1.06,2023-01-04
-4.17,-0.82,0.22,2023-01-05
-1.6,1.45,2.4,2023-01-06
-0.37,1.37,2.0,2023-01-09
0.62,2.08,2.71,2023-01-10
3.5,3.39,3.69,2023-01-11
4.15,3.74,4.0,2023-01-12
5.24,4.16,4.33,2023-01-13
5.93,3.95,3.92,2023-01-17
4.76,2.33,2.17,2023-01-18
4.03,1.55,1.26,2023-01-19
7.54,3.47,2.72,2023-01-20
10.01,4.7,3.69,2023-01-23
9.97,4.62,3.69,2023-01-24
9.51,4.6,3.89,2023-01-25
12.57,5.75,4.59,2023-01-26
14.91,6.02,4.4,2023-01-27
11.86,4.64,3.41,2023-01-30
13.89,6.18,4.76,2023-01-31
16.3,7.29,5.58,2023-02-01
22.97,8.86,5.84,2023-02-02
21.21,7.73,4.93,2023-02-03
20.11,7.07,4.4,2023-02-06
23.32,8.45,5.21,2023-02-07
21.3,7.25,4.37,2023-02-08
20.07,6.3,3.57,2023-02-09
18.9,6.54,4.17,2023-02-10
21.24,7.76,5.19,2023-02-13
22.29,7.73,4.93,2023-02-14
23.01,8.02,5.14,2023-02-15
20.12,6.53,3.98,2023-02-16
19.12,6.24,3.86,2023-02-17
15.96,4.11,1.98,2023-02-21
16.26,3.95,1.75,2023-02-22
17.92,4.5,2.0,2023-02-23
15.59,3.4,1.24,2023-02-24
16.65,3.72,1.37,2023-02-27
16.53,3.4,1.04,2023-02-28
14.92,2.91,0.77,2023-03-01
15.56,3.69,1.54,2023-03-02
18.93,5.37,2.81,2023-03-03
19.51,5.44,2.76,2023-03-06
18.06,3.83,1.12,2023-03-07
18.55,3.97,1.19,2023-03-08
16.54,2.05,-0.51,2023-03-09
14.9,0.58,-1.93,2023-03-10
16.47,0.42,-2.53,2023-03-13
19.79,2.08,-1.22,2023-03-14
20.94,1.37,-2.45,2023-03-15
24.91,3.15,-1.22,2023-03-16
24.57,2.01,-2.59,2023-03-17
24.41,2.92,-1.42,2023-03-20
26.79,4.25,-0.31,2023-03-21
25.52,2.54,-2.14,2023-03-22
27.16,2.84,-2.17,2023-03-23
27.58,3.42,-1.6,2023-03-24
26.11,3.6,-0.9,2023-03-27
25.3,3.43,-0.9,2023-03-28
27.86,4.9,0.35,2023-03-29
29.24,5.5,0.78,2023-03-30
31.73,7.03,2.08,2023-03-31
31.42,7.42,2.68,2023-04-03
31.32,6.8,1.84,2023-04-04
29.36,6.53,1.95,2023-04-05
31.2,6.92,1.89,2023-04-06
30.2,7.02,2.28,2023-04-10
28.55,7.02,2.68,2023-04-11
27.52,6.58,2.38,2023-04-12
31.17,7.99,3.24,2023-04-13
30.9,7.77,3.07,2023-04-14
31.07,8.12,3.56,2023-04-17
31.25,8.21,3.75,2023-04-18
31.7,8.2,3.64,2023-04-19
30.0,7.56,3.26,2023-04-20
30.12,7.66,3.33,2023-04-21
29.52,7.75,3.59,2023-04-24
27.0,6.05,2.07,2023-04-25
